5.710	52.229	2.992
5.720	52.229	2.979
5.730	52.229	2.959
5.740	52.621	2.933
5.750	52.622	2.902
5.760	53.014	2.864
5.770	53.014	2.821
5.780	53.014	2.773
5.790	53.014	2.720
5.800	53.407	2.662
5.810	53.407	2.600
5.820	53.407	2.534
5.830	53.407	2.465
5.840	53.407	2.393
5.850	53.407	2.318
5.860	53.407	2.241
5.870	53.800	2.163
5.880	53.800	2.083
5.890	53.800	2.004
5.900	53.800	1.924
5.910	53.407	1.844
5.920	53.800	1.766
5.930	53.407	1.689
5.940	53.407	1.614
5.950	53.800	1.541
5.960	53.407	1.472
5.970	53.407	1.406
5.980	53.407	1.343
5.990	53.014	1.285
6.000	53.407	1.232
6.010	53.014	1.183
6.020	53.014	1.139
6.030	53.014	1.101
6.040	52.622	1.069
6.050	52.622	1.043
6.060	52.622	1.023
6.070	52.229	1.009
6.080	52.229	1.001
6.090	52.229	1.000
6.100	52.229	1.006
6.110	51.836	1.017
6.120	51.836	1.035
6.130	51.836	1.059
6.140	51.443	1.089
6.150	51.444	1.125
6.160	51.444	1.167
6.170	51.443	1.214
6.180	51.051	1.265
6.190	51.051	1.322
6.200	51.051	1.383
6.210	51.051	1.448
6.220	50.658	1.516
6.230	51.051	1.588
6.240	50.658	1.662
6.250	51.051	1.738
6.260	51.051	1.816
6.270	50.658	1.895
6.280	50.658	1.975
6.290	51.051	2.055
6.300	50.658	2.135
6.310	50.658	2.213
6.320	51.051	2.291
6.330	50.658	2.366
6.340	51.051	2.439
6.350	51.051	2.510
6.360	51.051	2.577
6.370	51.444	2.640
6.380	51.051	2.700
6.390	51.444	2.755
6.400	51.444	2.805
6.410	51.444	2.849
6.420	51.836	2.889
6.430	51.836	2.923
6.440	51.836	2.951
6.450	51.836	2.972
6.460	52.622	2.988
6.470	52.229	2.997
6.480	52.229	3.000
6.490	52.622	2.996
6.500	52.622	2.987
6.510	53.014	2.970
6.520	53.014	2.948
6.530	53.014	2.919
6.540	53.014	2.885
6.550	53.407	2.845
6.560	53.407	2.800
6.570	53.407	2.749
6.580	53.407	2.694
6.590	53.800	2.634
6.600	53.800	2.570
6.610	53.800	2.503
6.620	53.800	2.432
6.630	54.192	2.358
6.640	53.800	2.283
6.650	54.192	2.205
6.660	53.800	2.126
6.670	53.800	2.047
6.680	54.193	1.967
6.690	54.192	1.887
6.700	53.800	1.808
6.710	54.192	1.730
6.720	53.800	1.654
6.730	53.800	1.580
6.740	54.192	1.509
6.750	53.800	1.441
6.760	53.407	1.376
6.770	53.800	1.316
6.780	53.407	1.260
6.790	53.407	1.208
6.800	53.407	1.162
6.810	53.407	1.121
6.820	53.014	1.086
6.830	53.407	1.056
6.840	52.622	1.033
6.850	53.014	1.016
6.860	52.622	1.005
6.870	52.229	1.000
